Page,Review Number,Rating,Review Text
1,1,"5,0",Gaziantep’e ikinci gelişimde yorumları okuyarak geldiğim mekan. Gaziantep mutfağının yemeklerinin çoğunu lezzetli bir şekilde samimi ve ilgili servis personeli eşliğinde tadabileceğiniz bir mekan. Uğultu ve kaos olmadan yemeğimizi yiyebildik ve rahat oturum yapabildik. Yeri ve konumuda şahane.
1,2,"5,0",Buraya ikinci gelişim. Gaziantep' de ki mutfağımız.  Yemekleri muhteşem olduğunuzu kadar ilgili personelleri güler yüzlü efendi yaklaşımları için ayrıca teşekkür etmek istiyorum . Herkese sonsuz öneririm.
1,3,"3,0","Çalışanlar ilgili, güzel yüzlü.. mekan güzel temiz ferah ve rahat. Yöresel ev yemekleri için tadım menüsü söyledik güzeldi hoşumuza gitti, farklı lezzetler denedik."
1,4,"5,0",Tesadüfen gördük girdik ama iyi ki girmişiz. Yemekleri fazlasıyla lezzetliydi. Gaziantep mutfağının güzelliği zaten tartışılamaz. Kesinlikle öneriyorum.
1,5,"5,0",Oldukça ilgili ve saygılı bir ekiple çalışmaktalar. Yemekler yöreyi yansıtan ve özel olarak kullanılan malzemeler ile hazırlanmıştı.
1,6,"5,0","Gayet güzel mekân, ışıltılı ve şık. Dolma ve beyran kesinlikle deneyin. Onun dışında çalışanlar çok iyi. Aşırı da sıra olabiliyor ona göre saatlerde gidin"
1,7,"5,0","Arkadaşlarla çok aç olduğumuz bir antep gezisinde gittik herşeyi çok güzeldi yöresel lezzetlerin tatları harikaydı, soğan kebabı yiyemedik onun için erken gelin 😁 pişman olmazsınız ayrıca çalışanlarda çok ilgiliydi teşekkürler"
1,8,"1,0",bu nasıl bir rezalettir ne yemekler güzel ne sunumluklar yemeğim bile çok uzun zaman sonra geldi gelene kadar üç tane sigara içtim üstüne garsonları çok patavatsızdı resmen bizi döveceklerdi üstüne ne sigara içme yeri var ne sunum güzel ne de garsonların tavırları insanda bir güler yüz olur ama bunlarda o da yoktu abartıldığı kadar güzel bir yemekleri de yok etler çiğdi resmen gitmeyin arkadaşlar tüm günümüz burnumuzdan geldi o parayı verdikten sonra tuzak lan bu
1,9,"5,0","Benim için Gaziantep bir Yesemek tek oldu. Bütün gün aç geçirdiğim bir Gaziantep turundan sonra yemeğinden dolmasına, içli köftesinden servisine mükemmel bir mekandı. Bir an bile ilgilenmeyi bırakmadılar. Hepsine teşekkürler. ikizleri olan abiye de selamlar."
1,10,"4,0",Dolma ve Beyran çok güzeldi yuvalama çorbası da farklı bir lezzet güzel hizmet başarılı bir mekan önerebilirim yeni lezzet denemek isteyenlere
